ID,Name,Category,Chain(s),URL
1772,APX Finance,Derivatives,Arbitrum | Base | Binance | Ethereum | Manta | zkSync Era,https://www.apollox.finance/en
1771,Arch,Indexes,Ethereum | Polygon,https://www.arch.finance
1770,ClayStack ETH,Liquid Restaking,Ethereum,https://claystack.com
1769,KDSwap,Dexes,Kadena,https://kdswap.exchange
1768,Jelly,Yield,Ethereum,https://www.jelly.io
1767,xWeowns,Yield,Lachain,https://xweowns.com
1766,Koyo Finance,Dexes,Boba,https://koyo.finance
1765,UNCX Network V2,Launchpad,Arbitrum | Avalanche | Binance | Ethereum | Polygon | xDai,https://unicrypt.network
1764,AmesDefi,Algo-Stables,Binance,https://www.ames-defi.app
1763,Know-To-Earn,Services,IoTeX,https://www.knowtoearn.io
1762,Elf Finance,Algo-Stables,Fantom,https://www.finance-elf.com
1761,OliveDAO,Yield,Polygon,https://olivedao.finance
1760,COTI Treasury,Yield,Coti,https://treasury.coti.io
1759,SpaceFi Evmos,Dexes,Evmos,https://spacefi.io
1758,ToxicDeer Finance,Algo-Stables,Cronos,https://toxicdeer.finance
1756,Dystopia,Dexes,Polygon,https://www.dystopia.exchange
1755,Spartacus Exchange,Dexes,Fantom,https://app.spartacus.exchange
1754,CatsLuck,Prediction Market,smartBCH,https://catsluck.com
1753,Olympus Finance,Algo-Stables,Fantom,https://2.olympus-fi.com
1752,Spool V1,Yield Aggregator,Arbitrum | Ethereum,https://www.spool.fi
1751,Solily Protocol,Yield,Solana,http://www.solily.io
1750,CryptoSwap,Dexes,Binance,https://cryptoswapdex.com
1749,PandaLand,Gaming,smartBCH,https://pandaland.cash
1748,Murica,Algo-Stables,Fantom,https://murica-money.com
1747,Game Theory,Algo-Stables,Fantom,http://gametheory.tech/
1746,MapleDeFi,Yield,Binance,https://mapledefi.finance
1745,Joystick Club,Gaming,smartBCH,https://smart.joystick.club
1744,Earnmos,Yield Aggregator,Evmos | Kava,https://app.earnmos.fi
1743,Celerycash,Services,smartBCH,https://celery.cash
1742,Kinesis Labs,Dexes,Evmos,https://www.kinesislabs.co
1741,Starbank,Dexes,Astar,https://test.starbank.finance
1740,LiNEAR Protocol,Liquid Staking,Near,https://linearprotocol.org
1739,Valerian,Yield,Astar,https://valerianprotocol.com
1738,Bifrost Liquid Staking,Liquid Staking,Astar | Bifrost | Ethereum | Filecoin | Manta,https://bifrost.finance
1737,EmberSwap,Dexes,smartBCH,https://www.emberswap.com
1736,Muuu Finance,Yield,Astar,https://muuu.finance
1735,BCHPad,Launchpad,smartBCH,https://www.bchpad.cash
1734,Ketchup Finance,Yield,Binance,https://ketchup.finance
1733,LNS,Dexes,smartBCH,https://bch.domains
1732,Verse,Dexes,Ethereum | smartBCH,https://verse.bitcoin.com
1731,HonkSwap,Dexes,smartBCH,https://honk.cash
1730,Goblins Cash,Reserve Currency,smartBCH,https://goblins.cash
1729,BlockNG,Dexes,smartBCH,https://blockng.money
1728,Astarnova,Dexes,Astar,https://astarnova.io
1727,StakeEasy,Liquid Staking,Juno | Secret,https://stakeeasy.finance
1726,Meshswap,Dexes,Polygon,https://meshswap.fi
1725,Pegasus Finance,Derivatives,Optimism,https://www.pegasusfinance.xyz
1724,Ampere,Algo-Stables,Fuse,https://ampere.live/
1723,KungFuu,Yield,Fantom,https://kungfuu.finance/
1722,Shibui DAO,NFT Marketplace,Boba,https://shibuidao.com/
1721,KronosDAO,Reserve Currency,Binance,https://kronosdao.ai
1720,Kokoa Finance,CDP,Klaytn,https://kokoa.finance
1719,ADAO,Yield,Astar,https://www.adaotop.com/
1718,Sapphire Mine,Yield,Polygon,https://www.sapphiremine.xyz
1717,CoinFLEX,Yield,smartBCH,https://coinflex.com/dao
1716,North Pole,CDP,Avalanche,https://northpole.money/
1715,Hummus AMM,Dexes,Metis,https://www.hummus.exchange
1714,0x NODES,Yield Aggregator,Avalanche | Binance | Ethereum | Fantom | Metis | Polygon,https://0xnodes.io/
1713,Duet Protocol,Synthetics,Arbitrum | Binance,https://duet.finance/
1712,EvmoSwap,Dexes,Evmos,https://app.evmoswap.org/
1711,Candle,Dexes,Ethereum,https://candlelabs.org/
1710,Fenrir Finance,Lending,Binance,https://app.fenrirfinance.com/dashboard
1709,IoTeX Monster Go,Gaming,IoTeX,https://www.iotexmonstergo.com
1708,AstridDAO,CDP,Astar,https://www.astriddao.xyz/
1707,CLever,Yield,Ethereum,https://clever.aladdin.club/
1706,Vortex Protocol,Dexes,Tezos,https://app.vortex.network/
1705,PinkPea Finance,Yield Aggregator,Aurora,https://pinkpea.finance/
1704,Double Club,Yield Aggregator,Binance,https://double.club/home
1703,Yumiswap,Dexes,Astar,https://yumiswap.com/
1702,AGS Finance,Dexes,Astar,https://ags.finance/
1701,Yup,Services,Ethereum | Polygon,https://yup.io
1700,Wombat Exchange,Dexes,Arbitrum | Avalanche | Base | Binance | Ethereum | Optimism | Scroll,https://www.wombat.exchange/
1699,Rubik Finance,Algo-Stables,Fantom,https://www.rubik.finance/
1698,Pandora Swap,Dexes,Astar,https://pandoraswapxyz.org/
1697,Diffusion Finance,Dexes,Evmos,https://diffusion.fi
1696,Cronus Finance,Dexes,Evmos,https://cronusfinance.xyz/#/swap
1695,Spectrumswap,Farm,Binance,null
1694,Ravcube Finance,Algo-Stables,Milkomeda,https://www.ravcube.finance
1693,Unbanked,Yield Aggregator,Fantom,https://dashboard.unbanked.com/dashboard/yield
1692,SiennaSwap,Dexes,Secret,https://sienna.network
1691,HaloFi,Services,Base | Celo | Polygon,https://halofi.me
1690,Zombie Network,Yield,Klaytn,https://zombie-network.fi
1689,GARD,CDP,Algorand,https://www.gard.money
1688,Olive,Options Vault,Arbitrum | Ethereum | Polygon,https://oliveapp.finance
1687,SmartCredit,Lending,Ethereum,https://smartcredit.io
1686,Ignite Finance,Reserve Currency,Klaytn,https://app.igniteprotocol.finance
1685,RFOX,Yield,Binance,https://www.rfox.com
1684,Dual Finance,Options,Solana,https://beta.dual.finance
1683,Klayportal,Staking Pool,Klaytn,https://klayportal.hashquark.io
1682,Nomad,Bridge,Ethereum | Evmos | Milkomeda | Moonbeam,https://nomad.xyz
1681,PuddingSwap,Dexes,Hoo,https://puddingswap.finance
1680,Orcus Finance,Algo-Stables,Astar,https://orcusfinance.io
1679,Dot Dot Finance,Yield,Binance,https://dotdot.finance/
1678,Printer Financial,Bridge,Avalanche | Binance | Cronos | Fantom | Harmony | Polygon,https://printer.financial
1677,Timeswap V1,Lending,Polygon,https://timeswap.io
1676,0xLend,Lending,Blast | Kucoin | zkSync Era,https://www.0xlend.io/
1675,CENNZnet Bridge,Bridge,Ethereum,https://app.cennz.net/bridge
1674,Lemuria Finance,Yield Aggregator,Milkomeda,https://www.lemuria.finance/#/milkomeda
1673,Hydradex V2,Dexes,Hydra,https://hydradex.org/#/swap
1672,Tarina,Dexes,Avalanche,https://www.tarina.exchange
1671,FairySwap V1,Dexes,Findora,https://fairyswap.finance
1670,Monster,Gaming,Fantom,https://www.metaland.game
1669,TokensFarm,Yield,Arbitrum | Avalanche | Binance | Ethereum | Fantom | Optimism | Polygon,https://tokensfarm.com
1668,Milkydex,Dexes,Milkomeda,https://milkydex.com/
1667,Solv V2,RWA,Arbitrum | Binance | Ethereum | Polygon,https://solv.finance/
1666,Nord Finance,Yield Aggregator,Avalanche | Ethereum | Polygon,https://nordfinance.io
1665,Blueshift,Dexes,Kava | Milkomeda | Milkomeda A1 | Polygon,https://blueshift.fi/
1664,LlamaPay,Payments,Arbitrum | Avalanche | Binance | Ethereum | Fantom | Meter | Metis | Optimism | Polygon | xDai,https://llamapay.io
1663,ThunderPOKT,Liquid Staking,Pokt,https://thunderpokt.fi
1662,Yeti Finance,CDP,Avalanche,https://yeti.finance
1661,Swapscanner Dex,Dexes,Klaytn,https://swapscanner.io
1660,Swappi,Dexes,Conflux,https://app.swappi.io
1659,Sirius Finance,Dexes,Astar,https://www.sirius.finance
1658,Steak,Liquid Staking,Terra,https://steak.club
1657,Predy V3.2,Derivatives,Arbitrum,https://www.predy.finance
1656,FunBeast,Dexes,Astar,https://funbeast.xyz/swap
1655,Versa Finance,Dexes,Astar,https://versa.finance
1654,Scrub,Algo-Stables,Cronos | Kava,https://scrub.money
1653,Comb Financial,Yield,Fantom,https://comb.financial
1652,Neuronswap,Dexes,Klaytn,https://www.neuronswap.com/
1651,Oaswap,Dexes,Oasis,https://oaswap.finance/swap
1650,sICX,Liquid Staking,Icon,https://icon.community
1649,Milky Cow,Algo-Stables,Milkomeda,https://www.defi-milkycow.com
1648,CGX Finance,Dexes,Cronos,https://cgx.finance
1647,Waterfall DeFi,Yield Aggregator,Avalanche | Binance,https://app.waterfalldefi.org/
1646,StableKoi,Dexes,Godwoken | GodwokenV1,https://app.stablekoi.com
1645,Luchadores,Gaming,Polygon,https://luchadores.io
1644,Trusted Node,Liquid Staking,Binance | Fantom,https://trustednode.io
1643,ChampagneSwap,Dexes,Binance,https://champagneswap.com
1642,Folks Finance Lending,Lending,Algorand,https://folks.finance/
1641,EPNS,Services,Ethereum,https://epns.io
1640,Eklipse Finance,Dexes,Klaytn,https://eklipse.finance
1639,Hodltree,Lending,Ethereum | Polygon,https://hodltree.io/
1638,DDDX,Dexes,Binance,https://dddx.io
1637,BlueBit,Yield Aggregator,Aurora,https://bluebit.fi/
1636,Bolide,Yield Aggregator,Binance | Polygon,https://bolide.fi/
1635,Clearpool,Uncollateralized Lending,Ethereum | Optimism | Polygon | Polygon zkEVM,https://clearpool.finance
1634,Solace,Insurance,Aurora | Ethereum | Polygon,https://solace.fi/
1633,BencuFi,Lending,Metis,https://bencu.fi/
1632,SMBSwap V2,Dexes,Binance,https://smbswap.finance/
1631,Onyx Protocol,Lending,Ethereum,https://app.onyx.org/
1630,YieldHub Finance,Yield Aggregator,Telos,https://app.yieldhub.finance
1629,Humble Defi,Dexes,Algorand,https://www.humble.sh
1628,SingularityDAO,Yield,Binance | Ethereum,https://singularitydao.ai
1627,LendFlare,Lending,Ethereum,https://lendflare.finance
1626,Astrowar Finance,Services,Harmony,https://www.astrowar.finance/
1625,DarumaDAO,Reserve Currency,Godwoken,https://www.daruma.money/
1624,Ambire Wallet,Wallets,Ethereum,https://www.ambire.com
1623,TroyDefi,Farm,Binance,https://www.troydefi.com
1622,VelasPad,Launchpad,Velas,https://velaspad.io
1621,Astar Exchange V2,Dexes,Astar,https://astar.exchange
1620,Amaterasu Finance,Dexes,Aurora,https://linktr.ee/amaterasufinance
1619,JPEG'd,NFT Lending,Ethereum,https://jpegd.io
1618,DeltaTheta,Options,Binance | Polygon,https://deltatheta.tech
1617,Revuto,Services,Cardano,https://revuto.com
1616,RadioShack,Dexes,Avalanche | Binance | Cronos | Dogechain | Ethereum | Fantom | Optimism | Polygon,https://www.radioshack.com/
1615,Polynomial Earn,Options Vault,Optimism,https://earn.polynomial.fi/
1614,0vix,Lending,Polygon | Polygon zkEVM,https://www.0vix.com
1613,Nested,Services,Arbitrum | Avalanche | Binance | Ethereum | Optimism | Polygon,https://nested.fi
1612,Concave,Services,Ethereum,https://concave.lol
1611,Peak Finance,Algo-Stables,Metis,https://peakfinance.io
1610,Pegasusdollar,Algo-Stables,Cronos,https://pegasusdollar.finance/
1609,MetalX Swap,Dexes,Proton,https://www.protonswap.com/swap
1608,Kagla Finance,Dexes,Astar,https://kagla.finance
1607,Milko Farm,Farm,Milkomeda,https://www.milko.farm
1606,Mockingbird,Farm,Fantom,https://mockingbird.philetairus-socius.com
1605,Stake1,Lending,Fantom,https://www.stake1.one
1604,Antex,Launchpad,Binance,https://antex.org
1603,Picnic,Indexes,Polygon,https://www.usepicnic.com
1602,Lenfi,Lending,Cardano,https://aada.finance
1601,WingRiders,Dexes,Cardano,https://www.wingriders.com
1600,Greenhouse,Dexes,Polygon,https://greenhousedex.com/
1599,AAVE V3,Lending,Arbitrum | Avalanche | Base | Binance | Ethereum | Fantom | Harmony | Metis | Optimism | Polygon | Scroll | xDai,https://aave.com
1598,Crystalvale,Dexes,DFK,https://www.defikingdoms.com/crystalvale
1597,ErgoPad,Launchpad,Ergo,https://ergopad.io/
1596,The Idols,Reserve Currency,Ethereum,https://www.theidols.io
1595,RubikFarm,Farm,Binance,https://rubik.farm
1594,Symbiosis,Cross Chain,Arbitrum | Arbitrum Nova | Aurora | Avalanche | Bahamut | Base | Binance | Blast | Boba | Boba_Avax | Boba_Bnb | Ethereum | Kava | Linea | Manta | Mantle | Merlin | Metis | Mode | Optimism | Polygon | Polygon zkEVM | RSK | Scroll | Telos | Tron | zkSync Era,https://symbiosis.finance
1593,Sphere Finance,Yield,Polygon,https://sphere.finance
1592,Strips Finance,Derivatives,Arbitrum,https://strips.finance
1591,OccamX,Dexes,Milkomeda,https://occam-x.fi
1590,MilkySwap,Dexes,Milkomeda,https://www.milkyswap.exchange
1589,Puzzle Swap,Dexes,Waves,https://puzzleswap.org/
1588,Diamond Coin,Gaming,Fantom,https://fantoon.com/
1587,LaserSwap,Dexes,ThunderCore,https://laserswap.finance
1586,Sherpa Cash,Privacy,Avalanche,https://sherpa.cash/
1585,Scion Finance,Yield Aggregator,Fantom | Moonriver,https://scion.finance
1584,Valas Finance,Lending,Binance,https://valasfinance.com/
1583,Axl Inu,Launchpad,Binance | Ethereum,https://www.axltoken.com
1582,Aperture LM,Liquidity manager,Avalanche | Terra,https://aperture.finance
1581,HebeSwap,Dexes,EthereumClassic,https://hebeswap.com
1580,LowcostSwap,Yield,Binance,https://www.lowcostswap.com/
1579,BeefStake,Yield,Vite,https://stake.vitc.org
1578,Hyphen,Bridge,Arbitrum | Avalanche | Binance | Ethereum | Optimism | Polygon,https://www.biconomy.io
1577,Sturdy V1,Lending,Ethereum | Fantom,https://app.sturdy.finance
1576,MeowSwapFi,Dexes,Cardano,https://meowswap.fi
1575,Penguin,Dexes,Solana,https://png.fi
1574,Viva,Yield,Vite,https://app.vivafi.org
1573,ViteX,Dexes,Vite,https://vitex.net
1572,DeFIL,Lending,Binance | Ethereum,https://defil.org/#/home
1571,Stargate,Cross Chain,Arbitrum | Avalanche | Base | Binance | Ethereum | Fantom | Goerli | Kava | Linea | Mantle | Metis | Optimism | Polygon,https://stargate.finance/
1570,Rikkei Finance,Lending,Binance,https://rikkei.finance/
1569,Swim Protocol,Cross Chain,Solana,https://swim.io/
1568,eckoDAO,Dexes,Kadena,http://ecko.finance/
1567,LuckyChip,Prediction Market,Binance,https://luckychip.io/
1566,Anedak,Dexes,Kadena,https://anedak.com/
1565,RingFi,Yield,Binance,https://ringfi.io/
1564,Philetairus Socius,Dexes,Fantom,https://www.philetairus-socius.com/
1563,iZUMi LiquidBox,Yield,Arbitrum | Aurora | Binance | Cronos | Ethereum | Polygon,https://izumi.finance
1562,PanKUKU,Dexes,Binance,https://pankuku.net
1561,Pear DAO,Services,Binance,https://peardao.io
1560,ClaySwap,Farm,Binance,https://clayswap.finance
1559,KDLaunch,Launchpad,Kadena,https://www.kdlaunch.com/#/staking
1558,GOGOcoin,Yield,Polygon,https://www.gogocoin.io
1557,Single Finance,Leveraged Farming,Arbitrum | Cronos | Fantom,https://singlefinance.io
1556,Terra Bridge,Bridge,Terra,https://bridge.terra.money
1555,Darkness,Dexes,Cronos,https://www.darkness.finance
1554,Kleros,Services,Ethereum | xDai,https://kleros.io
1553,BaksDAO,Lending,Binance,https://baksdao.com
1552,Angel Protocol,Services,Terra,https://www.angelprotocol.io
1551,Kujira Orca,Services,Kujira,https://orca.kujira.app/
1550,METF Finance,Yield,Cronos,https://metf.finance/#/
1549,Babena,CDP,Kadena,https://babena.finance
1548,Chaotic Finance,Derivatives,Moonriver,https://chaotic.finance/
1547,Jumbo Exchange,Dexes,Near,https://jumbo.exchange/swap
1546,Burrow,Lending,Near,https://burrow.finance/
1545,Steroids,Yield,Ethereum,https://steroids.finance/
1544,Concentrator,Yield,Ethereum,https://concentrator.aladdin.club/
1543,Drip,Yield,Binance,https://drip.community
1541,Portal,Bridge,Acala | Algorand | Aptos | Arbitrum | Aurora | Avalanche | Base | Binance | Celo | Ethereum | Fantom | Injective | Karura | Klaytn | Moonbeam | Near | Optimism | Polygon | Solana | Sui | Terra | Terra2 | XPLA,https://portalbridge.com
1540,Polar Bear Finance,Algo-Stables,Avalanche,https://polar-bear.finance/
1539,CityCoins,Yield,Stacks,https://www.citycoins.co
1538,Risk Harbor,Insurance,Arbitrum | Aurora | Avalanche | Ethereum | Fantom | Optimism | Polygon | Terra | Terra2,https://www.riskharbor.com/
1537,Solrise Finance,Indexes,Solana,https://solrise.finance/
1536,JetMine DAO,Yield,Fantom,https://jetmine.defiwaterfall.com
1535,Cubo,Yield,Polygon,https://cubo.money
1534,StrikeX,Farm,Binance,https://strikex.com
1533,LIFE,Farm,Fantom,https://lif3.com/swap
1532,MetalX Lending,Lending,Proton,https://protonloan.com
1531,01,Derivatives,Solana,https://01.xyz/
1530,Excalibur,Dexes,Fantom,https://excalibur.exchange/
1529,Gamblefi,Reserve Currency,Cronos,https://gamblefi.io/
1528,Blindex,Algo-Stables,RSK,https://blindex.io/
1527,Libero Financial,Yield,Binance,https://libero.financial/app?lang=en
1526,Metavault DAO,Services,Ethereum | Polygon,https://metavault.org
1525,Vector Finance,Yield,Avalanche,https://vectorfinance.io/
1524,Mars Protocol,Lending,Neutron | Osmosis | Terra,https://marsprotocol.io
1523,KLAYstation,Liquid Staking,Klaytn,https://klaystation.io
1521,Horizon Protocol,Derivatives,Binance,https://horizonprotocol.com/
1520,Paraluni Masterchef,Yield,Binance,https://paraluni.org
1519,CryptEx Locker,Services,Binance,https://cryptexlock.me
1518,Bastion,Lending,Aurora,https://app.bastionprotocol.com/
1517,Domination Finance,Synthetics,Boba | Ethereum | Polygon,https://domination.finance
1516,RHEA DAO,Reserve Currency,Klaytn,https://rheadao.finance
1515,Echidna Finance,Yield,Avalanche,https://www.echidna.finance
1514,Granary Finance,Lending,Arbitrum | Avalanche | Base | Binance | Ethereum | Fantom | Linea | Metis | Optimism,https://granary.finance/
1513,Zomb2 Finance,Algo-Stables,Fantom,https://zomb2.finance
1512,Spade Finance,Farm,Fantom,https://spadefinance.farm
1511,Seedify,Launchpad,Binance,https://launchpad.seedify.fund/
1510,MiniVerse Finance,Algo-Stables,Fantom,https://app.mvfinance.club
1509,Solanax,Dexes,Solana,https://solanax.org
1508,Code 7 Finance,Algo-Stables,Fantom,https://www.code7.finance
1507,Zombi Finance,Algo-Stables,Fantom,https://zombi.finance/
1506,Pulse DAO,Algo-Stables,Fantom,https://pulsedao.finance/
1505,Floor Dao,Reserve Currency,Ethereum,https://floor.xyz/
1504,Fantasm,Algo-Stables,Fantom,https://fantasm.finance/
1503,Snowyowl,Algo-Stables,Avalanche,https://snowyowl.finance/
1502,The Parallel,Gaming,Binance,https://theparallel.io
1501,Octus Bridge,Bridge,Avalanche | Binance | Ethereum | Everscale | Fantom | Milkomeda | Polygon,https://octusbridge.io/bridge
1500,Alcor Exchange,Dexes,EOS | Wax,https://alcor.exchange
1499,Lavafall,Yield,Fantom,https://lava.defiwaterfall.com
1498,pDollar,Algo-Stables,Fantom,https://pdo.partial.finance
1497,Starlay Finance,Lending,Acala | Astar,https://starlay.finance
1496,Grave Finance,Algo-Stables,Avalanche,https://www.grave-finance.com/#/
1495,Zappy,Dexes,Telos,https://www.zappy.finance/swap
1494,Minswap,Dexes,Cardano,https://minswap.org
1493,GoblinGold,Yield,Solana,https://app.goblin.gold
1492,Aurigami,Lending,Aurora,https://www.aurigami.finance
1491,RelayChain,Bridge,Arbitrum | Avalanche | Binance | Cronos | Ethereum | Fantom | Harmony | Heco | IoTeX | Metis | Moonriver | Optimism | Polygon,https://www.relaychain.com
1490,Demodyfi,Dexes,Binance | Ethereum | Moonbeam,https://www.demodyfi.com
1489,DolphinSwap,Dexes,EOS,https://dolphinswap.io
1488,DMD Finance,Yield,EOS,https://dmd.finance
1487,KlayBank,Lending,Klaytn,https://klaybank.org
1486,Fountain Protocol,Lending,Oasis,https://ftp.cash/
1485,WhaleEx,Dexes,EOS,https://www.whaleex.com/
1484,BastilleDeLaBouje,Yield,Fantom,https://bastille.bouje.finance/
1483,V3S Finance,Algo-Stables,Cronos,https://www.v3s.finance
1481,2Doge Finance,Algo-Stables,Fantom,https://2doge.finance
1480,Xray Swap,Yield,Binance,https://www.xrayswap.com/
1479,Phantom Finance,Farm,Fantom,https://www.phantom.farm
1478,GTON Capital,Reserve Currency,Fantom,https://gton.capital
1477,Edge Protocol,Lending,Terra,https://www.edgeprotocol.io
1476,Wrapped ILCOIN,Yield,Ethereum,https://wilc.finance
1475,MahaDAO Arth,CDP,Binance | Ethereum | Polygon,https://mahadao.com
1474,AtomicHub,Dexes,EOS | Wax,https://eos.atomichub.io
1473,SportBet,Prediction Market,EOS,https://sportbet.one/
1472,Electrik Finance,Yield Aggregator,Klaytn,https://electrik.finance/
1471,BetHash,Prediction Market,EOS,https://bethash.io/
1470,Nereus Finance,Lending,Avalanche,https://nereus.finance/
1469,BtnGroup,Yield,Secret,https://btn.group
1468,Pact,Dexes,Algorand,https://app.pact.fi
1467,Farmtom,Yield,Fantom,https://farmtom.com/
1466,ALEX,Dexes,Stacks,https://alexlab.co/
1465,PRISM Protocol,Yield,Terra | Terra2,https://home.prismprotocol.app
